field,type,description
profile,string,The profile of this descriptor.
name,string,"An identifier string. Lower case characters with `.`, `_`, `-` and `/` are allowed."
id,string,A property reserved for globally unique identifiers. Examples of identifiers that are unique include UUIDs and DOIs.
title,string,A human-readable title.
description,string,A text description. Markdown is encouraged.
homepage,string,The home on the web that is related to this data package.
created,string,The datetime on which this descriptor was created.
contributors,array,The contributors to this descriptor.
keywords,array,A list of keywords that describe this package.
image,string,A image to represent this package.
licenses,array,The license(s) under which this package is published.
resources,array,"An `array` of Data Resource objects, each compliant with the [Data Resource](/data-resource/) specification."
sources,array,The raw sources for this resource.
